date_key,date_type,full_date,day_num_of_week,day_num_of_month,day_num_of_quarter,day_num_of_year,day_num_absolute,day_of_week_name,day_of_week_abbreviation,julian_day_num_of_year
203,Normal,1900-07-22 0:00,1,22,22,203,203,SUNDAY,SUN,1900203
204,Normal,1900-07-23 0:00,2,23,23,204,204,MONDAY,MON,1900204
205,Normal,1900-07-24 0:00,3,24,24,205,205,TUESDAY,TUE,1900205
206,Normal,1900-07-25 0:00,4,25,25,206,206,WEDNESDAY,WED,1900206
207,Normal,1900-07-26 0:00,5,26,26,207,207,THURSDAY,THU,1900207
208,Normal,1900-07-27 0:00,6,27,27,208,208,FRIDAY,FRI,1900208
209,Normal,1900-07-28 0:00,7,28,28,209,209,SATURDAY,SAT,1900209
210,Normal,1900-07-29 0:00,1,29,29,210,210,SUNDAY,SUN,1900210
211,Normal,1900-07-30 0:00,2,30,30,211,211,MONDAY,MON,1900211
212,Normal,1900-07-31 0:00,3,31,31,212,212,TUESDAY,TUE,1900212
213,Normal,1900-08-01 0:00,4,1,32,213,213,WEDNESDAY,WED,1900213
214,Normal,1900-08-02 0:00,5,2,33,214,214,THURSDAY,THU,1900214
215,Normal,1900-08-03 0:00,6,3,34,215,215,FRIDAY,FRI,1900215
216,Normal,1900-08-04 0:00,7,4,35,216,216,SATURDAY,SAT,1900216
217,Normal,1900-08-05 0:00,1,5,36,217,217,SUNDAY,SUN,1900217
218,Normal,1900-08-06 0:00,2,6,37,218,218,MONDAY,MON,1900218
219,Normal,1900-08-07 0:00,3,7,38,219,219,TUESDAY,TUE,1900219
220,Normal,1900-08-08 0:00,4,8,39,220,220,WEDNESDAY,WED,1900220
221,Normal,1900-08-09 0:00,5,9,40,221,221,THURSDAY,THU,1900221
222,Normal,1900-08-10 0:00,6,10,41,222,222,FRIDAY,FRI,1900222
223,Normal,1900-08-11 0:00,7,11,42,223,223,SATURDAY,SAT,1900223
224,Normal,1900-08-12 0:00,1,12,43,224,224,SUNDAY,SUN,1900224
225,Normal,1900-08-13 0:00,2,13,44,225,225,MONDAY,MON,1900225
226,Normal,1900-08-14 0:00,3,14,45,226,226,TUESDAY,TUE,1900226
227,Normal,1900-08-15 0:00,4,15,46,227,227,WEDNESDAY,WED,1900227
228,Normal,1900-08-16 0:00,5,16,47,228,228,THURSDAY,THU,1900228
229,Normal,1900-08-17 0:00,6,17,48,229,229,FRIDAY,FRI,1900229
230,Normal,1900-08-18 0:00,7,18,49,230,230,SATURDAY,SAT,1900230
231,Normal,1900-08-19 0:00,1,19,50,231,231,SUNDAY,SUN,1900231
232,Normal,1900-08-20 0:00,2,20,51,232,232,MONDAY,MON,1900232
233,Normal,1900-08-21 0:00,3,21,52,233,233,TUESDAY,TUE,1900233
234,Normal,1900-08-22 0:00,4,22,53,234,234,WEDNESDAY,WED,1900234
235,Normal,1900-08-23 0:00,5,23,54,235,235,THURSDAY,THU,1900235
236,Normal,1900-08-24 0:00,6,24,55,236,236,FRIDAY,FRI,1900236
237,Normal,1900-08-25 0:00,7,25,56,237,237,SATURDAY,SAT,1900237
238,Normal,1900-08-26 0:00,1,26,57,238,238,SUNDAY,SUN,1900238
239,Normal,1900-08-27 0:00,2,27,58,239,239,MONDAY,MON,1900239
240,Normal,1900-08-28 0:00,3,28,59,240,240,TUESDAY,TUE,1900240
241,Normal,1900-08-29 0:00,4,29,60,241,241,WEDNESDAY,WED,1900241
242,Normal,1900-08-30 0:00,5,30,61,242,242,THURSDAY,THU,1900242
243,Normal,1900-08-31 0:00,6,31,62,243,243,FRIDAY,FRI,1900243
244,Normal,1900-09-01 0:00,7,1,63,244,244,SATURDAY,SAT,1900244
245,Normal,1900-09-02 0:00,1,2,64,245,245,SUNDAY,SUN,1900245
246,Normal,1900-09-03 0:00,2,3,65,246,246,MONDAY,MON,1900246
247,Normal,1900-09-04 0:00,3,4,66,247,247,TUESDAY,TUE,1900247
248,Normal,1900-09-05 0:00,4,5,67,248,248,WEDNESDAY,WED,1900248
249,Normal,1900-09-06 0:00,5,6,68,249,249,THURSDAY,THU,1900249
250,Normal,1900-09-07 0:00,6,7,69,250,250,FRIDAY,FRI,1900250
251,Normal,1900-09-08 0:00,7,8,70,251,251,SATURDAY,SAT,1900251
252,Normal,1900-09-09 0:00,1,9,71,252,252,SUNDAY,SUN,1900252
253,Normal,1900-09-10 0:00,2,10,72,253,253,MONDAY,MON,1900253
254,Normal,1900-09-11 0:00,3,11,73,254,254,TUESDAY,TUE,1900254
255,Normal,1900-09-12 0:00,4,12,74,255,255,WEDNESDAY,WED,1900255
256,Normal,1900-09-13 0:00,5,13,75,256,256,THURSDAY,THU,1900256
257,Normal,1900-09-14 0:00,6,14,76,257,257,FRIDAY,FRI,1900257
258,Normal,1900-09-15 0:00,7,15,77,258,258,SATURDAY,SAT,1900258
259,Normal,1900-09-16 0:00,1,16,78,259,259,SUNDAY,SUN,1900259
260,Normal,1900-09-17 0:00,2,17,79,260,260,MONDAY,MON,1900260
261,Normal,1900-09-18 0:00,3,18,80,261,261,TUESDAY,TUE,1900261
262,Normal,1900-09-19 0:00,4,19,81,262,262,WEDNESDAY,WED,1900262
263,Normal,1900-09-20 0:00,5,20,82,263,263,THURSDAY,THU,1900263
264,Normal,1900-09-21 0:00,6,21,83,264,264,FRIDAY,FRI,1900264
265,Normal,1900-09-22 0:00,7,22,84,265,265,SATURDAY,SAT,1900265
266,Normal,1900-09-23 0:00,1,23,85,266,266,SUNDAY,SUN,1900266
267,Normal,1900-09-24 0:00,2,24,86,267,267,MONDAY,MON,1900267
268,Normal,1900-09-25 0:00,3,25,87,268,268,TUESDAY,TUE,1900268
269,Normal,1900-09-26 0:00,4,26,88,269,269,WEDNESDAY,WED,1900269
270,Normal,1900-09-27 0:00,5,27,89,270,270,THURSDAY,THU,1900270
271,Normal,1900-09-28 0:00,6,28,90,271,271,FRIDAY,FRI,1900271
272,Normal,1900-09-29 0:00,7,29,91,272,272,SATURDAY,SAT,1900272
273,Normal,1900-09-30 0:00,1,30,92,273,273,SUNDAY,SUN,1900273
274,Normal,1900-10-01 0:00,2,1,1,274,274,MONDAY,MON,1900274
275,Normal,1900-10-02 0:00,3,2,2,275,275,TUESDAY,TUE,1900275
276,Normal,1900-10-03 0:00,4,3,3,276,276,WEDNESDAY,WED,1900276
277,Normal,1900-10-04 0:00,5,4,4,277,277,THURSDAY,THU,1900277
278,Normal,1900-10-05 0:00,6,5,5,278,278,FRIDAY,FRI,1900278
279,Normal,1900-10-06 0:00,7,6,6,279,279,SATURDAY,SAT,1900279
280,Normal,1900-10-07 0:00,1,7,7,280,280,SUNDAY,SUN,1900280
281,Normal,1900-10-08 0:00,2,8,8,281,281,MONDAY,MON,1900281
282,Normal,1900-10-09 0:00,3,9,9,282,282,TUESDAY,TUE,1900282
283,Normal,1900-10-10 0:00,4,10,10,283,283,WEDNESDAY,WED,1900283
284,Normal,1900-10-11 0:00,5,11,11,284,284,THURSDAY,THU,1900284
285,Normal,1900-10-12 0:00,6,12,12,285,285,FRIDAY,FRI,1900285
286,Normal,1900-10-13 0:00,7,13,13,286,286,SATURDAY,SAT,1900286
287,Normal,1900-10-14 0:00,1,14,14,287,287,SUNDAY,SUN,1900287
288,Normal,1900-10-15 0:00,2,15,15,288,288,MONDAY,MON,1900288
289,Normal,1900-10-16 0:00,3,16,16,289,289,TUESDAY,TUE,1900289
290,Normal,1900-10-17 0:00,4,17,17,290,290,WEDNESDAY,WED,1900290
291,Normal,1900-10-18 0:00,5,18,18,291,291,THURSDAY,THU,1900291
292,Normal,1900-10-19 0:00,6,19,19,292,292,FRIDAY,FRI,1900292
293,Normal,1900-10-20 0:00,7,20,20,293,293,SATURDAY,SAT,1900293
294,Normal,1900-10-21 0:00,1,21,21,294,294,SUNDAY,SUN,1900294
295,Normal,1900-10-22 0:00,2,22,22,295,295,MONDAY,MON,1900295
296,Normal,1900-10-23 0:00,3,23,23,296,296,TUESDAY,TUE,1900296
297,Normal,1900-10-24 0:00,4,24,24,297,297,WEDNESDAY,WED,1900297
298,Normal,1900-10-25 0:00,5,25,25,298,298,THURSDAY,THU,1900298
299,Normal,1900-10-26 0:00,6,26,26,299,299,FRIDAY,FRI,1900299
